data,dataset_licenza_sconosciuta,dataset_licenze_non_specificate,Dataset con formati sconosciuti,dataset
10/10/2021,3001,1720,7871,48353
16/10/2021,2999,1707,7207,47500
11/11/2021,2667,171,7097,47587
14/11/2021,2668,171,7054,47583
21/11/2021,2456,169,3754,47437
27/11/2021,2600,169,3755,47437
05/12/2021,2890,169,3624,47977
17/12/2021,3064,169,3751,48489
24/12/2021,3315,169,3773,50014
31/12/2021,3315,232,3783,50705
08/01/2022,3318,232,3784,50993
17/01/2022,1708,232,3865,51022
18/01/2022,1708,232,3865,51022
